id;TARGA;GENERE MERCEOLOGICO;ANNO_ISTITUZIONE;INDIRIZZO;CIVICO;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
70;Ditta Andrea Spinardi;Ferramenta;1907;C.so Porta Romana;74;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.19449000000003;45.45674100000008;(45.45674100000008, 9.19449000000003)
71;Ditta Guenzati;Tessuti, maglieria, accessori;1768;P.zza Cordusio;2;1;1;DUOMO;9.18667350000004;45.46516500000007;(45.46516500000007, 9.18667350000004)
72;Ditta Raimondi di Pettinaroli;Cartoleria;1776;Corso Venezia;6;1;1;DUOMO;9.19834650000007;45.46755900000005;(45.46755900000005, 9.19834650000007)
73;Dogana Ristorante Pizzeria;Ristorante, pizzeria;1951;Via Dogana;3;1;1;DUOMO;9.188793000000032;45.46323000000007;(45.46323000000007, 9.188793000000032)
74;Drogheria Grossi;Drogheria;1928;Corso Magenta;31;1;1;DUOMO;9.176103000000069;45.46584900000005;(45.46584900000005, 9.176103000000069)
75;E. E. Ercolessi;Cartolibreira;1921;C.so Magenta;25;1;1;DUOMO;9.17738550000007;45.465858000000026;(45.465858000000026, 9.17738550000007)
76;E. S. Il bello dell'intimo;Abbigliamento intimo;1951;Via Mazzini;2;1;1;DUOMO;9.188383500000043;45.46340100000003;(45.46340100000003, 9.188383500000043)
77;E. Urgnani Antico cambio al Cordusio;Cambiavalute;1932;Via Cordusio;2;1;1;DUOMO;9.185697000000062;45.46498500000007;(45.46498500000007, 9.185697000000062)
78;Edicola Labò;Chiosco Edicola;1951;Piazza Duomo;snc;1;1;DUOMO;9.189841148000028;45.464212469000074;(45.464212469000074, 9.189841148000028)
79;Edicola Magni;Edicola;1914;L.go Augusto;3;1;1;DUOMO;9.197176500000069;45.46341000000007;(45.46341000000007, 9.197176500000069)
80;F. Pettinaroli;Cartoleria;1881;Piazza San Fedele;2;1;1;DUOMO;9.191002500000025;45.46614600000004;(45.46614600000004, 9.191002500000025)
81;F.lli Meazza;Ferramenta, casalinghi, arredobagni;1928;Via San Sisto;9;1;1;DUOMO;9.181408500000032;45.46134900000004;(45.46134900000004, 9.181408500000032)
82;F.lli Sanvito;Cuoio e accessori per calzature;1938;C.so P.ta Vigentina;38;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.196015500000044;45.453366000000074;(45.453366000000074, 9.196015500000044)
83;Fabbrica Argenteria Dabbene;Oggetti preziosi;1939;Largo Treves;2;1;2;BRERA;9.187146000000041;45.47521800000004;(45.47521800000004, 9.187146000000041)
84;Falconieri acconciature;Parrucchiere;1957;Via G. Carducci;27;1;1;DUOMO;9.174721500000032;45.46401300000008;(45.46401300000008, 9.174721500000032)
85;Fantasie di Moda;Bigiotteria;1954;C.so Vittorio Emanuele II;37/B;1;1;DUOMO;9.196564500000022;45.466263000000026;(45.466263000000026, 9.196564500000022)
86;Farmacia Brera Porati;Farmacia;1835;Via Senato;2;1;4;GUASTALLA;9.19907100000006;45.469089000000054;(45.469089000000054, 9.19907100000006)
87;Farmacia S. Eustorgio;Farmacia;1811;Corso Porta Ticinese;98;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.180288000000075;45.453771000000074;(45.453771000000074, 9.180288000000075)
88;Fedeli Red and Blue;Abbigliamento;1948;Via Monte Napoleone;8;1;1;DUOMO;9.195718500000055;45.46789200000006;(45.46789200000006, 9.195718500000055)
