id_area;municipio;area;localita;obj_id;codice;descrizione_codice;data_ini;LONG_X_4326;LAT_Y_4326;Location
1_345;1;345;giardino Pippa Bacca;228541;P214272;Tavolo da pic nic;2016/03/21;9.1829178099;45.4769734624;(45.4769734624, 9.1829178099)
7_073;7;73;parco in Memoria delle vittime Italiane nei Gulag;228542;P214272;Tavolo da pic nic;2016/03/21;9.0966068137;45.4555976069;(45.4555976069, 9.0966068137)
6_031;6;31;vie Cascina Bianca - De Pretis - Danusso - Finetti;228543;P214272;Tavolo da pic nic;2016/03/25;9.1557726341;45.4269008294;(45.4269008294, 9.1557726341)
9_148;9;148;parco Villa Litta;228545;P214272;Tavolo da pic nic;2016/03/25;9.1661071875;45.5158832888;(45.5158832888, 9.1661071875)
9_148;9;148;parco Villa Litta;228547;P214272;Tavolo da pic nic;2016/03/25;9.1657385074;45.515814405;(45.515814405, 9.1657385074)
4_202;4;202;piazza Insubria;228561;P214272;Tavolo da pic nic;2016/04/28;9.220131222;45.4529321444;(45.4529321444, 9.220131222)
4_165;4;165;parco Formentano;228670;P214272;Tavolo da pic nic;2016/03/21;9.2148743371;45.4618054268;(45.4618054268, 9.2148743371)
4_130;4;130;via Veneziano;228671;P214272;Tavolo da pic nic;2016/04/16;9.2266767688;45.4427381608;(45.4427381608, 9.2266767688)
4_287;4;287;giardino Candia Marcello;228672;P214272;Tavolo da pic nic;2016/03/21;9.2145326324;45.44694819;(45.44694819, 9.2145326324)
5_135;5;135;parco Ravizza;228673;P214272;Tavolo da pic nic;2016/03/21;9.1928439102;45.4480031989;(45.4480031989, 9.1928439102)
5_189;5;189;via Tibaldi n. 41;228674;P214272;Tavolo da pic nic;2016/03/21;9.1835149624;45.445299325;(45.445299325, 9.1835149624)
7_051;7;51;parco Fanciullo;228675;P214272;Tavolo da pic nic;2016/03/21;9.1073530119;45.4750324846;(45.4750324846, 9.1073530119)
8_102;8;102;piazza Santa Maria Nascente n. 30;228684;P214272;Tavolo da pic nic;2016/03/25;9.1331743501;45.4873161888;(45.4873161888, 9.1331743501)
8_073;8;73;giardino Poletti Angelo;228685;P214272;Tavolo da pic nic;2016/03/25;9.0984697831;45.4996795604;(45.4996795604, 9.0984697831)
6_082;6;82;giardino Alberto Moravia;228690;P214272;Tavolo da pic nic;2016/03/21;9.1261305341;45.4566665681;(45.4566665681, 9.1261305341)
3_004;3;4;via Illirico;228691;P214272;Tavolo da pic nic;2016/03/21;9.2331055443;45.469893255;(45.469893255, 9.2331055443)
2_036;2;36;vie Giacometti - Gilardi - Breda;228692;P214272;Tavolo da pic nic;2016/03/21;9.2191003508;45.5138900761;(45.5138900761, 9.2191003508)
3_006;3;6;giardino Ramelli Sergio;228694;P214272;Tavolo da pic nic;2016/03/21;9.2201918295;45.4764023019;(45.4764023019, 9.2201918295)
9_206;9;206;via Iseo n. 10;229300;P214272;Tavolo da pic nic;2016/06/08;9.1730129661;45.5210204844;(45.5210204844, 9.1730129661)
9_206;9;206;via Iseo n. 10;229301;P214272;Tavolo da pic nic;2016/06/08;9.1730798275;45.5209753974;(45.5209753974, 9.1730798275)
9_206;9;206;via Iseo n. 10;229302;P214272;Tavolo da pic nic;2016/06/08;9.1733830015;45.5209811805;(45.5209811805, 9.1733830015)
2_274;2;274;via Sammartini;229361;P214272;Tavolo da pic nic;2015/12/29;9.215028719;45.4988690207;(45.4988690207, 9.215028719)
3_250;3;250;via Pitteri;229990;P214272;Tavolo da pic nic;2015/02/01;9.2457051436;45.4805562996;(45.4805562996, 9.2457051436)
3_250;3;250;via Pitteri;229991;P214272;Tavolo da pic nic;2015/02/01;9.2457316783;45.4805598677;(45.4805598677, 9.2457316783)
3_250;3;250;via Pitteri;230473;P214272;Tavolo da pic nic;2015/02/01;9.2458264944;45.4805846357;(45.4805846357, 9.2458264944)
3_250;3;250;via Pitteri;230474;P214272;Tavolo da pic nic;2015/02/01;9.2458478877;45.4805995935;(45.4805995935, 9.2458478877)
3_227;3;227;via Valvassori Peroni;230682;P214272;Tavolo da pic nic;2016/10/18;9.2369908983;45.4798669409;(45.4798669409, 9.2369908983)
1_017;1;17;via Moscova - Fatebenesorelle;232414;P214272;Tavolo da pic nic;2016/06/01;9.1905821682;45.4777614565;(45.4777614565, 9.1905821682)
1_017;1;17;via Moscova - Fatebenesorelle;232415;P214272;Tavolo da pic nic;2016/06/01;9.1905674541;45.4776951511;(45.4776951511, 9.1905674541)
1_017;1;17;via Moscova - Fatebenesorelle;232416;P214272;Tavolo da pic nic;2016/06/01;9.1905748514;45.4777299595;(45.4777299595, 9.1905748514)
1_017;1;17;via Moscova - Fatebenesorelle;232417;P214272;Tavolo da pic nic;2016/06/01;9.1906948458;45.4777503441;(45.4777503441, 9.1906948458)
1_017;1;17;via Moscova - Fatebenesorelle;232418;P214272;Tavolo da pic nic;2016/06/01;9.1908389336;45.4777327476;(45.4777327476, 9.1908389336)
1_017;1;17;via Moscova - Fatebenesorelle;232419;P214272;Tavolo da pic nic;2016/06/01;9.1907377961;45.4777443308;(45.4777443308, 9.1907377961)
1_017;1;17;via Moscova - Fatebenesorelle;232420;P214272;Tavolo da pic nic;2016/06/01;9.1907829069;45.477737262;(45.477737262, 9.1907829069)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;233753;P214272;Tavolo da pic nic;2017/05/18;9.1351068916;45.5107512949;(45.5107512949, 9.1351068916)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;233754;P214272;Tavolo da pic nic;2017/05/18;9.1349945089;45.5107945008;(45.5107945008, 9.1349945089)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;233755;P214272;Tavolo da pic nic;2017/05/18;9.1349619668;45.5107348137;(45.5107348137, 9.1349619668)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;233756;P214272;Tavolo da pic nic;2017/05/18;9.1350001242;45.5106232038;(45.5106232038, 9.1350001242)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;233757;P214272;Tavolo da pic nic;2017/05/18;9.1348754771;45.5106739929;(45.5106739929, 9.1348754771)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;233758;P214272;Tavolo da pic nic;2017/05/18;9.1348427649;45.51082312;(45.51082312, 9.1348427649)
9_141;9;141;viale Fermi Enrico;233989;P214272;Tavolo da pic nic;2017/07/05;9.1776353871;45.5168878516;(45.5168878516, 9.1776353871)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;234173;P214272;Tavolo da pic nic;2017/05/18;9.1351900943;45.5111328045;(45.5111328045, 9.1351900943)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;234174;P214272;Tavolo da pic nic;2017/05/18;9.1352417986;45.510470069;(45.510470069, 9.1352417986)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;234175;P214272;Tavolo da pic nic;2017/05/18;9.1357764638;45.5104430389;(45.5104430389, 9.1357764638)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;234176;P214272;Tavolo da pic nic;2017/05/18;9.1349805438;45.5115072957;(45.5115072957, 9.1349805438)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;234177;P214272;Tavolo da pic nic;2017/05/18;9.1348487067;45.5112581637;(45.5112581637, 9.1348487067)
8_538;8;538;vie Fabrizi, Cinque Maggio, Aldini, Eritrea;234178;P214272;Tavolo da pic nic;2017/05/18;9.1354429987;45.5105185637;(45.5105185637, 9.1354429987)
6_082;6;82;giardino Alberto Moravia;234684;P214272;Tavolo da pic nic;2017/10/10;9.1260956874;45.4567682879;(45.4567682879, 9.1260956874)
5_111;5;111;via Frà Cristoforo;235183;P214272;Tavolo da pic nic;2018/02/02;9.1714687464;45.4362229025;(45.4362229025, 9.1714687464)
3_048;3;48;viale Argonne;235317;P214272;Tavolo da pic nic;2018/02/01;9.2293234325;45.4680481999;(45.4680481999, 9.2293234325)
3_048;3;48;viale Argonne;235318;P214272;Tavolo da pic nic;2018/02/01;9.2293799416;45.4680532234;(45.4680532234, 9.2293799416)
3_048;3;48;viale Argonne;235319;P214272;Tavolo da pic nic;2018/02/01;9.2293810419;45.4680996532;(45.4680996532, 9.2293810419)
3_048;3;48;viale Argonne;235320;P214272;Tavolo da pic nic;2018/02/01;9.2293795465;45.4680772268;(45.4680772268, 9.2293795465)
3_048;3;48;viale Argonne;235321;P214272;Tavolo da pic nic;2018/02/01;9.2293254345;45.4680753283;(45.4680753283, 9.2293254345)
8_544;8;544;giardino Rosa Genoni;235898;P214272;Tavolo da pic nic;2018/06/11;9.0989152481;45.492154034;(45.492154034, 9.0989152481)
8_544;8;544;giardino Rosa Genoni;235899;P214272;Tavolo da pic nic;2018/06/11;9.0989495601;45.4921606874;(45.4921606874, 9.0989495601)
8_544;8;544;giardino Rosa Genoni;235900;P214272;Tavolo da pic nic;2018/06/11;9.0989801351;45.492166628;(45.492166628, 9.0989801351)
8_544;8;544;giardino Rosa Genoni;235901;P214272;Tavolo da pic nic;2018/06/11;9.0988007636;45.4921328902;(45.4921328902, 9.0988007636)
8_544;8;544;giardino Rosa Genoni;235902;P214272;Tavolo da pic nic;2018/06/11;9.0987549018;45.4921243372;(45.4921243372, 9.0987549018)
8_544;8;544;giardino Rosa Genoni;235903;P214272;Tavolo da pic nic;2018/06/11;9.0987114197;45.4921172143;(45.4921172143, 9.0987114197)
5_068;5;68;parco Chiesa Rossa;236339;P214272;Tavolo da pic nic;2018/10/03;9.1741620376;45.4309337687;(45.4309337687, 9.1741620376)
3_215;3;215;parco della Lambretta;236372;P214272;Tavolo da pic nic;2018/10/20;9.2511952892;45.4803130908;(45.4803130908, 9.2511952892)
